frontend mvc,backend mvc,devs,designers
yes,no,3 to 10,no
yes,yes,1 or 2,no
no,no,1 or 2,no
yes,yes,3 to 10,yes
yes,yes,3 to 10,yes
yes,no,1 or 2,no
no,no,1 or 2,no
no,no,1 or 2,no
yes,yes,3 to 10,no
yes,yes,1 or 2,no
yes,no,1 or 2,no
yes,yes,1 or 2,no
yes,yes,3 to 10,yes
yes,no,3 to 10,no
yes,yes,3 to 10,no
yes,yes,1 or 2,yes
yes,no,1 or 2,no
no,yes,1 or 2,no
yes,no,over 10,yes
no,no,1 or 2,yes
yes,no,1 or 2,no
no,yes,1 or 2,yes
yes,yes,3 to 10,yes
no,yes,over 10,no
yes,no,3 to 10,no
yes,no,3 to 10,yes
yes,no,3 to 10,yes
no,yes,3 to 10,no
yes,yes,3 to 10,yes
yes,yes,1 or 2,yes
no,no,1 or 2,no
no,yes,1 or 2,no
